ID,slot,metal,ox,lig,spin,basis,scfConv,scfSteps,spinContam,ccsdConv,ccsdSteps,scfEnergy,corEnergy,ccsdEnergy,T1,time
1,gen_0_slot_470_3_2_150_150_150_20_4_0_1_0,470,3,2,150,4,undef,undef,undef,udef,undef,undef,undef,undef,undef,undef,undef
2,gen_0_slot_470_3_2_150_150_150_20_4_1_0_0,470,3,2,150,4,cc-pVTZ,True,34,0.009816,True,44,-1945.58194364,-3.007886747,-1948.581155285116,0.015166929,20.5876577778
3,gen_0_slot_470_3_2_150_150_150_20_2_0_0_0,470,3,2,150,2,cc-pVDZ,True,93,0.012267,True,29,-1945.34660129,-2.477438559,-1947.820748784383,0.017818677,8.32361638889
4,gen_0_slot_470_3_2_150_150_150_20_2_1_0_0,470,3,2,150,2,cc-pVTZ,True,101,0.014213,True,23,-1945.49664270,-3.070181249,-1948.562923856366,0.016741308,18.7680025
5,gen_0_slot_470_3_2_150_150_150_20_2_0_1_0,470,3,2,150,2,undef,undef,undef,udef,undef,undef,undef,undef,undef,undef,undef
6,gen_0_slot_470_3_2_150_150_150_20_2_1_1_0,470,3,2,150,2,undef,undef,undef,udef,undef,undef,undef,undef,undef,undef,undef
7,gen_0_slot_470_3_2_150_150_150_20_4_1_1_0,470,3,2,150,4,undef,undef,undef,udef,undef,undef,undef,undef,undef,undef,undef
8,gen_0_slot_470_3_2_150_150_150_20_4_0_0_0,470,3,2,150,4,cc-pVDZ,True,82,0.011738,True,46,-1945.43252423,-2.417052645,-1947.842184623954,0.015549172,9.37099916667
9,gen_0_slot_471_3_3_150_150_150_20_5_1_1_0,471,3,3,150,5,undef,undef,undef,udef,undef,undef,undef,undef,undef,undef,undef
10,gen_0_slot_471_3_3_150_150_150_20_1_1_1_0,471,3,3,150,1,undef,undef,undef,udef,undef,undef,undef,undef,undef,undef,undef
11,gen_0_slot_471_3_3_150_150_150_20_1_0_1_0,471,3,3,150,1,undef,undef,undef,udef,undef,undef,undef,undef,undef,undef,undef
12,gen_0_slot_471_3_3_150_150_150_20_5_0_0_0,471,3,3,150,5,cc-pVDZ,True,59,0.019118,True,39,-1944.89150769,-2.396161429,-1947.278447769751,0.021538564,12.7718119444
13,gen_0_slot_471_3_3_150_150_150_20_5_0_1_0,471,3,3,150,5,undef,undef,undef,udef,undef,undef,undef,undef,undef,undef,undef
14,gen_0_slot_471_3_3_150_150_150_20_1_1_0_0,471,3,3,150,1,cc-pVTZ,True,36,0.000000,True,18,-1944.97736600,-3.086724008,-1948.064092054565,0.024815233,27.1311755556
